"block","type","word"
1,"practice","sought"
1,"practice","dentist"
1,"practice","chase"
3,"neutral","sobering"
3,"neutral","shoe"
3,"neutral","eat"
3,"neutral","equipment"
3,"neutral","predator"
3,"neutral","house"
3,"neutral","boardroom"
3,"neutral","pencil"
3,"neutral","dexterity"
3,"neutral","analyse"
3,"neutral","land"
3,"neutral","circling"
3,"neutral","horn"
3,"neutral","sector"
3,"neutral","boldly"
3,"neutral","cat"
3,"neutral","devil"
3,"neutral","voice"
3,"neutral","clean"
3,"neutral","buffalo"
3,"neutral","table"
3,"neutral","hair"
3,"neutral","citizen"
3,"neutral","dog"
3,"neutral","walk"
3,"neutral","basin"
3,"neutral","agility"
3,"neutral","arm"
3,"neutral","trunk"
3,"neutral","potential"
3,"neutral","tiger"
3,"neutral","cow"
3,"neutral","water"
3,"neutral","horse"
3,"winter","winter"
3,"winter","snow"
3,"winter","icicle"
3,"winter","freezing"
3,"winter","hibernate"
3,"winter","january"
3,"winter","frost"
2,"summer","summer"
3,"summer","suncream"
3,"summer","august"
3,"summer","barbeque"
3,"summer","sandcastle"
3,"summer","sandals"
3,"summer","hot"
